package name,class name,method name,method signature
javacardx.framework.util.intx,JCint,setInt,(byte[];short;int)
javacardx.framework.event,EventSource
javacardx.framework.event,EventRegistry,register,(javacardx.framework.event.EventListener)
javacardx.framework.event,EventRegistry,getEventRegistry,(javacardx.framework.event.EventSource)
javacardx.framework.event,EventRegistry,unregister,(javacardx.framework.event.EventListener)
javacardx.framework.event,EventListener
javacardx.framework.math,ParityBit,set,(byte[];short;short;boolean)
javacardx.framework.math,BigNumber,setMaximum,(byte[];short;short;byte)
javacardx.framework.math,BigNumber,getMaxBytesSupported,()
javacardx.framework.math,BigNumber,compareTo,(byte[];short;short;byte)
javacardx.framework.math,BigNumber,compareTo,(javacardx.framework.math.BigNumber)
javacardx.framework.math,BigNumber,init,(byte[];short;short;byte)
javacardx.framework.math,BigNumber,subtract,(byte[];short;short;byte)
javacardx.framework.math,BigNumber,toBytes,(byte[];short;short;byte)
javacardx.framework.math,BigNumber,multiply,(byte[];short;short;byte)
javacardx.framework.math,BigNumber,getByteLength,(byte)
javacardx.framework.math,BigNumber,reset,()
javacardx.framework.math,BigNumber,add,(byte[];short;short;byte)
javacardx.framework.math,BCDUtil,convertToBCD,(byte[];short;short;byte[];short)
javacardx.framework.math,BCDUtil,getMaxBytesSupported,()
javacardx.framework.math,BCDUtil,isBCDFormat,(byte[];short;short)
javacardx.framework.math,BCDUtil,convertToHex,(byte[];short;short;byte[];short)
javacard.framework.service,RMIService,setStatusWord,(javacard.framework.APDU;short)
javacard.framework.service,RMIService,fail,(javacard.framework.APDU;short)
javacard.framework.service,RMIService,getStatusWord,(javacard.framework.APDU)
javacard.framework.service,RMIService,processDataIn,(javacard.framework.APDU)
javacard.framework.service,RMIService,selectingApplet,()
javacard.framework.service,RMIService,setProcessed,(javacard.framework.APDU)
javacard.framework.service,RMIService,getOutputLength,(javacard.framework.APDU)
javacard.framework.service,RMIService,getCLA,(javacard.framework.APDU)
javacard.framework.service,RMIService,succeed,(javacard.framework.APDU)
javacard.framework.service,RMIService,receiveInData,(javacard.framework.APDU)
javacard.framework.service,RMIService,processDataOut,(javacard.framework.APDU)
javacard.framework.service,RMIService,setOutputLength,(javacard.framework.APDU;short)
javacard.framework.service,RMIService,succeedWithStatusWord,(javacard.framework.APDU;short)
javacard.framework.service,RMIService,isProcessed,(javacard.framework.APDU)
javacard.framework.service,RMIService,getINS,(javacard.framework.APDU)
javacard.framework.service,RMIService,processCommand,(javacard.framework.APDU)
javacard.framework.service,RMIService,setInvokeInstructionByte,(byte)
javacard.framework.service,RemoteService,processDataOut,(javacard.framework.APDU)
javacard.framework.service,RemoteService,processCommand,(javacard.framework.APDU)
javacard.framework.service,RemoteService,processDataIn,(javacard.framework.APDU)
javacard.framework.service,Dispatcher,dispatch,(javacard.framework.APDU;byte)
javacard.framework.service,Dispatcher,addService,(javacard.framework.service.Service;byte)
javacard.framework.service,Dispatcher,removeService,(javacard.framework.service.Service;byte)
javacard.framework.service,Dispatcher,process,(javacard.framework.APDU)
javacard.framework.service,CardRemoteObject,export,(java.rmi.Remote)
javacard.framework.service,CardRemoteObject,unexport,(java.rmi.Remote)
javacard.framework.service,SecurityService,isChannelSecure,(byte)
javacard.framework.service,SecurityService,isCommandSecure,(byte)
javacard.framework.service,SecurityService,isAuthenticated,(short)
javacard.framework.service,SecurityService,processDataOut,(javacard.framework.APDU)
javacard.framework.service,SecurityService,processCommand,(javacard.framework.APDU)
javacard.framework.service,SecurityService,processDataIn,(javacard.framework.APDU)
javacard.framework.service,ServiceException,throwIt,(short)
javacard.framework.service,ServiceException,setReason,(short)
javacard.framework.service,ServiceException,getReason,()
javacard.framework.service,Service,processDataOut,(javacard.framework.APDU)
javacard.framework.service,Service,processCommand,(javacard.framework.APDU)
javacard.framework.service,Service,processDataIn,(javacard.framework.APDU)
javacard.framework.service,BasicService,setStatusWord,(javacard.framework.APDU;short)
javacard.framework.service,BasicService,fail,(javacard.framework.APDU;short)
javacard.framework.service,BasicService,getStatusWord,(javacard.framework.APDU)
javacard.framework.service,BasicService,selectingApplet,()
javacard.framework.service,BasicService,setProcessed,(javacard.framework.APDU)
javacard.framework.service,BasicService,getOutputLength,(javacard.framework.APDU)
javacard.framework.service,BasicService,getCLA,(javacard.framework.APDU)
javacard.framework.service,BasicService,succeed,(javacard.framework.APDU)
javacard.framework.service,BasicService,receiveInData,(javacard.framework.APDU)
javacard.framework.service,BasicService,processDataOut,(javacard.framework.APDU)
javacard.framework.service,BasicService,getCurrentState,()
javacard.framework.service,BasicService,setOutputLength,(javacard.framework.APDU;short)
javacard.framework.service,BasicService,succeedWithStatusWord,(javacard.framework.APDU;short)
javacard.framework.service,BasicService,isProcessed,(javacard.framework.APDU)
javacard.framework.service,BasicService,getINS,(javacard.framework.APDU)
javacard.framework.service,BasicService,processCommand,(javacard.framework.APDU)
javacard.framework.service,BasicService,processDataIn,(javacard.framework.APDU)
javacard.security,InitializedMessageDigest,getLength,()
javacard.security,InitializedMessageDigest,getInstance,(byte;boolean)
javacard.security,InitializedMessageDigest,getAlgorithm,()
