0,CAP loaded,FF 9000
166,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{43ea8be4}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
167,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4a114f0a}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
168,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{246ec43e}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
169,CAP loaded,SCARD_E_NOT_TRANSACTED
170,CAP loaded,6F00
171,CAP loaded,6F00
172,CAP loaded,6F00
173,CAP loaded,6F00
174,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
175,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
176,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
177,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
178,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
179,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
180,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
181,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
182,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
183,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
184,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
185,CAP loaded,SCARD_E_NOT_TRANSACTED
186,CAP loaded,6F00
187,CAP loaded,6F00
188,CAP loaded,6F00
189,CAP loaded,SCARD_E_NOT_TRANSACTED
190,CAP loaded,6F00
191,CAP loaded,6F00
192,CAP loaded,6F00
193,CAP loaded,6F00
194,CAP loaded,SCARD_E_NOT_TRANSACTED
195,CAP loaded,6F00
196,CAP loaded,6F00
197,CAP loaded,SCARD_E_NOT_TRANSACTED
198,CAP loaded,6F00
199,CAP loaded,6F00
200,CAP loaded,SCARD_E_NOT_TRANSACTED
201,CAP loaded,6F00
202,CAP loaded,6F00
203,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
204,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
205,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
206,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
207,CAP loaded,SCARD_E_NOT_TRANSACTED
208,CAP loaded,6F00
209,CAP loaded,6F00
210,CAP loaded,SCARD_E_NOT_TRANSACTED
211,CAP loaded,6F00
212,CAP loaded,6F00
213,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
214,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
215,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
216,CAP loaded,6F00
217,CAP loaded,6F00
218,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
219,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
